日付,曜日,Stage,カテゴリ,タスク,担当,所要h,優先度,依存,完了条件
2026-04-22,水,1,Infra,Footerコンポーネント新規作成（src/components/Footer.tsx）とApp.tsx+全ページへ組み込み,Claude,1,🔴,-,全ページ下部にAbout/Articles/Privacy/Terms/Contact/運営会社リンクと運営表記が表示される
2026-04-22,水,1,Policy,PrivacyPage §4 にCookie opt-out手順明記（adssettings.google.comリンク・データ保持期間・ブラウザ設定案内）,Claude,0.5,🟡,-,/privacy §4 にGoogle広告設定リンクと具体的な無効化手順が書かれている
2026-04-22,水,1,Content,記事10本分の企画リスト作成（タイトル・2-3文要約・スクショ予定枚数）,ユーザー,1,🔴,-,企画リストがメモまたは管理UIドラフトとして確定
2026-04-23,木,1,SEO,トップページ（src/app/App.tsx）に静的テキストセクション追加「このアプリとは」「できること」「使い方の流れ」「FAQ」,Claude,1.5,🔴,-,/ の初期HTMLに日本語本文が数百字出る・インタラクティブ機能の言語化も含む
2026-04-24,金,1,SEO,/about リッチ化（E-E-A-T要素：着想ストーリー・運営者専門性・更新ポリシー・モテコロ実績）,Claude+ユーザー,2,🔴,Day1企画,/about 本文が現状比2倍以上でE-E-A-T要素を含む
2026-04-25,土,1,Content,記事1本目の構成案作成＋独自スクショ撮影（タイトル候補「シール帳の使い方・チュートリアル」）,ユーザー,1.5,🔴,Day1企画,見出し構成とスクショ4枚がドラフトに揃う
2026-04-26,日,1,Content,記事1本目執筆「シール帳の使い方・チュートリアル」2500字+スクショ4枚,ユーザー,3,🔴,Day4構成,/admin/articles/new で公開済み・サムネ画像設定済み
2026-04-27,月,1,SEO,/contact にFAQ追加（返信目安・問い合わせ例3-5件）,Claude+ユーザー,1,🟡,-,/contact の本文が現状比2倍以上・FAQ明示
2026-04-28,火,1,Content,記事2本目執筆「シールで音楽を作るって何？（初心者向け解説）」2500字+スクショ3枚,ユーザー,3,🔴,-,公開済み・サムネ設定済み
2026-04-29,水,2,Tech,SSR Middleware拡張（/articles/:slug /about /privacy /terms /contact を対象に追加）+ api/page-ogp.ts 実装,Claude,3,🟠,-,curl -A Googlebot で各ページの初期HTMLに正しいtitle/canonical/og:*が出る
2026-04-30,木,2,Tech,動的sitemap実装（api/sitemap.ts）+ vercel.json に /sitemap.xml → /api/sitemap rewrite,Claude,1.5,🟠,-,新記事公開でsitemap.xmlに自動反映
2026-04-30,木,1,Policy,/terms にUGCガイドライン追加（音源の権利所有明記・違反投稿の削除プロセス）,Claude+ユーザー,1,🟡,-,/terms に UGC 節が追加されている
2026-05-01,金,1,Deploy,本番デプロイ確認＋GSCで /about /contact 記事1-2本目 をURL検査＆インデックス登録リクエスト,ユーザー,0.5,🟡,Day3-8,GSCで5ページのリクエスト送信済み
2026-05-02,土,1,Content,記事3本目の構成案＋独自スクショ撮影（タイトル候補「スペシャルキットの楽しみ方」）,ユーザー,1.5,🔴,-,構成とスクショ4枚がドラフトに揃う
2026-05-03,日,1,Content,記事3本目執筆「スペシャルキットの楽しみ方（操作言語化）」2500字+スクショ4枚,ユーザー,3,🔴,Day11構成,公開済み・シール2枚以上で解禁される挙動を言語化
2026-05-04,月,1,Infra,Vercelダッシュボードで apex→www を 307→308 恒久化,ユーザー,0.5,🟠,-,curl -I https://sirucho.com が 308で返る
2026-05-05,火,1,Content,こどもの日・軽作業日：記事4本目の構成案＋参考資料収集,ユーザー,1,🟡,-,見出し構成ドラフトあり（執筆は翌日）
2026-05-06,水,1,Content,記事4本目執筆「音楽理論のやさしい入門（BPM/ループ/ビート感）」2500字+図解2枚,ユーザー,3,🔴,Day15構成,公開済み
2026-05-07,木,1,Milestone,Stage 1 中間チェック（記事4本・フッター・静的セクション・SSR・動的sitemap・/about /contact /privacy /terms 全更新済か）,ユーザー,0.5,🔴,Day1-16,全項目✓・遅延あれば以降に組み込み
2026-05-08,金,1,Content,記事5本目執筆「音楽アプリで子どもと遊ぶアイデア」2500字+写真・スクショ3枚,ユーザー,3,🔴,-,公開済み
2026-05-09,土,3,Monetize,AdSense `<ins class=adsbygoogle>` ユニットを /articles/:slug 記事下・/about サイドバーに配置,Claude,1,🟡,記事>=5,3箇所に広告スロット設置
2026-05-10,日,3,Content,記事6本目執筆「ワークショップ事例・モテコロ実績連動（E-E-A-T強化）」2500字,ユーザー,3,🔴,-,公開済み・運営の音楽専門性を明記
2026-05-11,月,3,Content,記事7本目構成＋スクショ撮影（タイトル候補「シール帳で作った作品ベストピック」）,ユーザー,1.5,🔴,-,構成＋参照する作品URL3件が揃う
2026-05-12,火,3,Content,記事7本目執筆「シール帳で作った作品ベストピック」2500字+作品埋込3つ,ユーザー,3,🔴,Day20構成,公開済み・実作品への内部リンクあり
2026-05-13,水,3,Tech,既存記事にタグ付与（tagsテーブル活用）とカテゴリ分類,ユーザー+Claude,2,🟡,記事>=7,全記事にタグ1つ以上・/articles で絞込動作確認
2026-05-14,木,3,Content,記事8本目執筆「初心者向けループ活用コラム（BPM合わせの感覚）」2500字,ユーザー,3,🔴,-,公開済み
2026-05-15,金,3,Tech,記事間の関連記事リンク整備（/articles/:slug 下部に関連3件表示）,Claude,1.5,🟡,記事>=8,ArticlePage.tsx に関連記事セクション追加
2026-05-16,土,3,Content,記事9本目構成＋スクショ（タイトル候補「シール帳の開発ストーリー」E-E-A-T強化）,ユーザー,1.5,🔴,-,構成＋開発経緯の素材が揃う
2026-05-17,日,3,Content,記事9本目執筆「シール帳の開発ストーリー（運営視点・E-E-A-T）」2500字,ユーザー,3,🔴,Day24構成,公開済み
2026-05-18,月,3,Content,記事10本目執筆「更新情報・新機能紹介（スペシャル台紙など）」2500字,ユーザー,3,🔴,-,公開済み（記事10本達成）
2026-05-19,火,4,Review,全記事の品質チェック（独自スクショ有無・E-E-A-T要素・インタラクティブ機能の言語化）,ユーザー,2,🔴,記事=10,不足箇所リスト化→翌日補強
2026-05-20,水,4,Review,不足記事の補強（画像追加・本文追記）＋全ページメタタグ実機確認（curl -A Googlebot）,ユーザー+Claude,2,🔴,Day28結果,全ページでtitle/canonicalが正規化
2026-05-21,木,4,Review,Lighthouse/Core Web Vitals 簡易チェック（LCP<2.5s CLS<0.1）＋GSC全公開ページのURL検査＆インデックス登録リクエスト,ユーザー+Claude,2,🔴,-,全ページでリクエスト送信済み
2026-05-22,金,4,Wait,GSC「インデックス済みページ」確認（目標≥10）,ユーザー,0.5,🔴,Day30,10ページ以上インデックス済み
2026-05-22,金,4,Submit,AdSense管理画面で「問題を修正しました」チェック→「審査をリクエスト」押下,ユーザー,0.1,🔴,全前提完了,AdSense ステータスが「審査中」になる
